,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13
140,1409024,Men in Black 3,179020854,445005922,54592779,PG-13,57,Sony Pictures Entertainment (SPE),Barry Sonnenfeld,Will Smith,Tommy Lee Jones,8,0,1,1,0,0,0,0,1,0,0,0,0,1
141,3183660,Fantastic Beasts and Where to Find Them,234037575,580006041,74403387,PG-13,42,Warner Bros.,David Yates,Eddie Redmayne,Katherine Waterston,4,0,0,0,0,0,0,1,0,1,0,0,0,1
142,1277953,Madagascar 3: Europe's Most Wanted,216391482,530529792,60316738,PG,55,DreamWorks,Eric Darnell,Ben Stiller,Jada Pinkett Smith,8,0,1,0,0,0,0,0,0,1,0,0,1,0
143,2293640,Minions,336045770,823398892,115718405,PG,67,Universal Pictures,Kyle Balda,Sandra Bullock,Jon Hamm,5,0,0,0,0,1,0,0,0,1,0,0,1,0
144,3402236,Murder on the Orient Express,102826543,249967538,28681472,PG-13,70,Twentieth Century Fox,Kenneth Branagh,Kenneth Branagh,Penélope Cruz,3,1,0,0,1,0,0,0,0,0,0,0,0,1
145,2322441,Fifty Shades of Grey,166167230,403484237,85171450,R,54,Universal Pictures,Sam Taylor-Johnson,Dakota Johnson,Jamie Dornan,5,1,0,0,0,1,0,0,0,0,0,0,0,0
146,1477834,Aquaman,335061807,813424079,67873522,PG-13,47,Warner Bros.,James Wan,Jason Momoa,Amber Heard,2,0,0,0,0,0,0,1,1,0,0,0,0,1
147,2381991,The Huntsman: Winter's War,48390190,116599148,19445035,PG-13,54,Universal Pictures,Cedric Nicolas-Troyan,Chris Hemsworth,Jessica Chastain,4,0,1,0,0,1,0,0,1,0,0,0,0,1
148,963966,The Sorcerer's Apprentice,63150991,152132751,17619622,PG,60,Walt Disney Studios Motion Pictures,Jon Turteltaub,Nicolas Cage,Jay Baruchel,10,0,0,0,0,0,1,0,1,0,0,0,1,0
149,438097,Ice Age: The Meltdown,195330621,471763885,68033544,PG,72,Twentieth Century Fox,Carlos Saldanha,Ray Romano,John Leguizamo,14,0,1,0,1,0,0,0,0,1,0,0,1,0
150,1935859,Miss Peregrine's Home for Peculiar Children,87242834,209239612,28871140,PG-13,47,Twentieth Century Fox,Tim Burton,Eva Green,Asa Butterfield,4,0,0,0,1,0,0,0,0,1,0,0,0,1
151,1790864,The Maze Runner,102427862,245891999,32512804,PG-13,59,Twentieth Century Fox,Wes Ball,Dylan O'Brien,Kaya Scodelario,6,1,0,0,1,0,0,0,1,0,0,0,0,1
