id,URL,Rank,Title,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,domestic_opening_gross,rating,foreign_market_count,genres,distributor,director,actor_1,actor_2,IMDB_link
0130623,/title/tt0130623/?ref_=bo_cso_table_195,396,Dinosaur,"$349,822,765","$137,748,063",39.4%,"$212,074,702",60.6%,2000,"$38,854,851",PG,3,"Adventure
    
        Animation
    
        Family
    
        Thriller",Walt Disney Studios Motion Pictures,Eric Leighton,D.B. Sweeney,Julianna Margulies,https://pro.imdb.com/title/tt0130623
5028340,/title/tt5028340/?ref_=bo_cso_table_196,397,Mary Poppins Returns,"$349,545,966","$171,958,438",49.2%,"$177,587,528",50.8%,2018,"$23,523,121",PG,53,"Comedy
    
        Family
    
        Fantasy
    
        Musical",Walt Disney Studios Motion Pictures,Rob Marshall,Emily Blunt,Lin-Manuel Miranda,https://pro.imdb.com/title/tt5028340
0120647,/title/tt0120647/?ref_=bo_cso_table_197,398,Deep Impact,"$349,464,664","$140,464,664",40.2%,"$209,000,000",59.8%,1998,"$41,152,375",PG-13,53,"Action
    
        Drama
    
        Romance
    
        Sci-Fi
    
        Thriller",Paramount Pictures,Mimi Leder,Robert Duvall,Téa Leoni,https://pro.imdb.com/title/tt0120647
1482459,/title/tt1482459/?ref_=bo_cso_table_198,399,The Lorax,"$348,840,316","$214,030,500",61.4%,"$134,809,816",38.6%,2012,"$70,217,070",PG,55,"Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy
    
        Musical",Universal Pictures,Chris Renaud,Zac Efron,Taylor Swift,https://pro.imdb.com/title/tt1482459
1790864,/title/tt1790864/?ref_=bo_cso_table_199,400,The Maze Runner,"$348,319,861","$102,427,862",29.4%,"$245,891,999",70.6%,2014,"$32,512,804",PG-13,59,"Action
    
        Mystery
    
        Sci-Fi
    
        Thriller",Twentieth Century Fox,Wes Ball,Dylan O'Brien,Kaya Scodelario,https://pro.imdb.com/title/tt1790864
2017020,/title/tt2017020/?ref_=bo_cso_table_200,401,The Smurfs 2,"$347,545,360","$71,017,784",20.4%,"$276,527,576",79.6%,2013,"$17,548,389",PG,57,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",Sony Pictures Entertainment (SPE),Raja Gosnell,Neil Patrick Harris,Jayma Mays,https://pro.imdb.com/title/tt2017020
0368891,/title/tt0368891/?ref_=bo_cso_table_1,402,National Treasure,"$347,512,318","$173,008,894",49.8%,"$174,503,424",50.2%,2004,"$35,142,554",PG,52,"Action
    
        Adventure
    
        Mystery
    
        Thriller",Walt Disney Studios Motion Pictures,Jon Turteltaub,Nicolas Cage,Diane Kruger,https://pro.imdb.com/title/tt0368891
0266915,/title/tt0266915/?ref_=bo_cso_table_2,403,Rush Hour 2,"$347,325,802","$226,164,286",65.1%,"$121,161,516",34.9%,2001,"$67,408,222",PG-13,13,"Action
    
        Comedy
    
        Crime
    
        Thriller",New Line Cinema,Brett Ratner,Jackie Chan,Chris Tucker,https://pro.imdb.com/title/tt0266915
1679335,/title/tt1679335/?ref_=bo_cso_table_3,404,Trolls,"$346,864,462","$153,707,064",44.3%,"$193,157,398",55.7%,2016,"$46,581,142",PG,52,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical",Twentieth Century Fox,Mike Mitchell,Anna Kendrick,Justin Timberlake,https://pro.imdb.com/title/tt1679335
1293847,/title/tt1293847/?ref_=bo_cso_table_4,405,xXx: Return of Xander Cage,"$346,118,277","$44,898,413",13%,"$301,219,864",87%,2017,"$20,130,142",PG-13,55,"Action
    
        Adventure
    
        Thriller",Paramount Pictures,D.J. Caruso,Vin Diesel,Donnie Yen,https://pro.imdb.com/title/tt1293847
