,Title,Foreign_Gross,domestic_opening_gross,foreign_market_count,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13,Is_Animation,Is_Family,Is_Horror,Is_Sci-Fi,Is_Fantasy,Is_Romance,imdb_title_id,weighted_average_vote
745,The BFG,139759641,18775350,58,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,tt3691740,6.4
746,Power Rangers,56972790,40300288,65,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt3717490,5.9
747,Kong: Skull Island,398600000,61025472,40,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,tt3731562,6.6
748,Godzilla: King of the Monsters,276100000,47776293,44,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,tt3741700,6.0
749,Lion,88574023,123360,50,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt3741834,8.0
750,Rogue One: A Star Wars Story,523880396,155081681,53,4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,tt3748528,7.8
751,The Equalizer 2,88315795,36011640,72,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt3766354,6.7
752,Solo: A Star Wars Story,179157295,84420489,52,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,tt3778644,6.9
753,La La Land,295385068,881104,66,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,tt3783958,8.0
754,La La Land,295385068,881104,66,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,tt3783958,8.0
755,Sonic the Hedgehog,160700000,58018348,56,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,tt3794354,6.5
756,The Predator,109517426,24632284,42,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,tt3829266,5.3
757,Dumbo,238518314,45990748,55,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,tt3861390,6.3
758,The Boss Baby,352962903,50198902,69,3,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,tt3874544,6.3
759,Baby Driver,119119225,20553320,71,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt3890160,7.6
760,Guardians of the Galaxy Vol. 2,473942950,146510104,52,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,tt3896198,7.6
761,Teenage Mutant Ninja Turtles: Out of the Shadows,163572247,35316382,47,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt3949660,6.0
762,Maze Runner: The Scorch Trials,230598864,30316510,79,5,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt4046784,6.3
763,The Lego Batman Movie,136200000,53003468,41,3,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,tt4116284,7.3
764,Fantastic Beasts: The Crimes of Grindelwald,495300000,62163104,43,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,tt4123430,6.6
765,Captain Marvel,701446251,153433423,56,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,tt4154664,6.9
766,Avengers: Infinity War,1369544272,257698183,54,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,tt4154756,8.4
767,Avengers: Endgame,1939427564,357115007,56,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,tt4154796,8.4
768,Don't Breathe,68612612,26411706,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tt4160708,7.1
769,Jason Bourne,253050504,59215365,63,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt4196776,6.6
770,John Wick: Chapter 2,79518618,30436123,65,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt4425200,7.5
771,Fifty Shades Darker,266964596,46607250,59,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tt4465564,4.6
772,Paddington 2,187087054,11001961,77,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,tt4468740,7.8
773,Fifty Shades Freed,271577258,38560195,61,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tt4477536,4.5
774,Maze Runner: The Death Cure,230142892,24167011,70,2,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt4500922,6.2
775,Frozen II,972653355,130263358,54,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,tt4520988,6.9
776,Darkest Hour,94378864,175006,65,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt4555426,7.4
777,Christopher Robin,98529335,24585139,51,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,tt4575576,7.3
778,Storks,110709675,21311407,41,4,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,tt4624424,6.8
779,The Fate of the Furious,1009996733,98786705,65,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt4630562,6.7
780,Spider-Man: Into the Spider-Verse,185299521,35363376,75,2,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,tt4633694,8.4
781,Kingsman: The Golden Circle,310667824,39023010,70,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt4649466,6.7
782,Bad Moms,70678777,23817340,58,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt4651520,6.2
783,Bumblebee,340794056,21654047,54,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt4701182,6.8
784,Pitch Perfect 3,80502815,19928525,45,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,tt4765284,5.8
785,Maleficent: Mistress of Evil,377800484,36948713,54,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,tt4777008,6.6
786,The Meg,384815731,45402195,41,4,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,tt4779682,5.6
787,Lights Out,81600000,21688103,39,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,tt4786282,6.3
788,Hidden Figures,66349611,515499,55,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt4846340,7.8
789,The Emoji Movie,131687133,24531923,74,3,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,tt4877122,3.3
790,Jurassic World: Fallen Kingdom,890765087,148024610,66,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt4881806,6.2
791,Mission: Impossible - Fallout,570961322,61236534,57,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt4912910,7.7
792,Split,140162993,40010975,64,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,tt4972582,7.3
793,Dunkirk,337208738,50513488,43,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,tt5013056,7.9
794,"Three Billboards Outside Ebbing, Missouri",105678291,322168,66,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt5027774,8.2
795,Mary Poppins Returns,177587528,23523121,53,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,tt5028340,6.7
796,Ant-Man and the Wasp,406025399,75812205,52,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,tt5095030,7.1
