,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy
328,4465564,Fifty Shades Darker,"$114,581,250","$266,964,596","$46,607,250",R,59,Universal Pictures,James Foley,Dakota Johnson,Jamie Dornan,3,1,1,0,0,1,0,0,0,0,0
126,1229238,Mission: Impossible - Ghost Protocol,"$209,397,903","$485,315,477","$12,785,204",PG-13,53,Paramount Pictures,Brad Bird,Tom Cruise,Jeremy Renner,9,0,1,0,0,0,0,0,1,0,0
863,2024544,12 Years a Slave,"$56,671,993","$131,061,209","$923,715",R,48,Fox Searchlight Pictures,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,7,0,0,0,0,0,0,0,0,0,0
930,299977,Hero,"$53,710,019","$123,685,538","$17,800,000",PG-13,47,Miramax,Yimou Zhang,Jet Li,Tony Chiu-Wai Leung,18,0,0,0,0,0,0,0,1,0,0
48,926084,Harry Potter and the Deathly Hallows: Part 1,"$296,347,721","$680,617,869","$125,017,372",PG-13,69,Warner Bros.,David Yates,Daniel Radcliffe,Emma Watson,10,0,1,0,0,0,0,1,0,1,0
96,1905041,Fast & Furious 6,"$238,679,850","$550,001,118","$97,375,245",PG-13,56,Universal Pictures,Justin Lin,Vin Diesel,Paul Walker,7,0,0,0,0,1,0,0,1,0,0
785,3300542,London Has Fallen,"$62,524,260","$143,230,187","$21,635,601",R,50,Focus Features,Babak Najafi,Gerard Butler,Aaron Eckhart,4,0,1,0,0,0,0,0,1,0,0
311,6911608,Mamma Mia! Here We Go Again,"$120,634,935","$274,466,207","$34,952,180",PG-13,65,Universal Pictures,Ol Parker,Lily James,Amanda Seyfried,2,0,0,0,0,1,0,0,0,0,1
386,1985949,The Angry Birds Movie,"$107,509,366","$244,824,563","$38,155,177",PG,76,Sony Pictures Entertainment (SPE),Clay Kaytis,Jason Sudeikis,Josh Gad,4,0,0,1,0,0,0,0,1,0,0
784,457939,The Holiday,"$63,224,849","$142,617,036","$12,778,913",PG-13,64,Sony Pictures Entertainment (SPE),Nancy Meyers,Kate Winslet,Cameron Diaz,14,0,0,1,0,0,0,0,0,0,1
0,4154796,Avengers: Endgame,"$858,373,000","$1,939,427,564","$357,115,007",PG-13,56,Walt Disney Studios Motion Pictures,Anthony Russo,Robert Downey Jr.,Chris Evans,1,0,1,0,0,0,1,0,1,0,0
204,2386490,How to Train Your Dragon: The Hidden World,"$160,799,505","$361,033,909","$55,022,245",PG,67,Universal Pictures,Dean DeBlois,Jay Baruchel,America Ferrera,1,0,1,0,0,1,0,0,1,0,0
644,2316204,Alien: Covenant,"$74,262,031","$166,629,732","$36,160,621",R,72,Twentieth Century Fox,Ridley Scott,Michael Fassbender,Katherine Waterston,3,0,1,0,1,0,0,0,0,0,0
1115,2873282,Red Sparrow,"$46,874,505","$104,698,129","$16,853,422",R,68,Twentieth Century Fox,Francis Lawrence,Jennifer Lawrence,Joel Edgerton,2,1,0,0,1,0,0,0,1,0,0
879,203009,Moulin Rouge!,"$57,386,607","$127,548,423","$167,540",PG-13,64,Twentieth Century Fox,Baz Luhrmann,Nicole Kidman,Ewan McGregor,19,0,0,0,1,0,0,0,0,0,0
57,373889,Harry Potter and the Order of the Phoenix,"$292,353,413","$649,789,530","$77,108,414",PG-13,63,Warner Bros.,David Yates,Daniel Radcliffe,Emma Watson,13,1,1,0,0,0,0,1,1,0,0
365,1951261,The Hangover Part III,"$112,200,072","$249,800,000","$41,671,198",R,52,Warner Bros.,Todd Phillips,Bradley Cooper,Zach Galifianakis,7,0,0,0,0,0,0,1,0,0,1
418,1397514,Journey 2: The Mysterious Island,"$103,860,290","$231,400,000","$27,335,363",PG,53,Warner Bros.,Brad Peyton,Josh Hutcherson,Dwayne Johnson,8,1,1,0,0,0,0,1,1,0,0
861,359950,The Secret Life of Walter Mitty,"$58,236,838","$129,896,484","$12,765,508",PG,53,Twentieth Century Fox,Ben Stiller,Ben Stiller,Kristen Wiig,7,1,0,0,1,0,0,0,0,0,1
291,2802144,Kingsman: The Secret Service,"$128,261,724","$286,089,822","$36,206,331",R,63,Twentieth Century Fox,Matthew Vaughn,Colin Firth,Taron Egerton,5,0,1,0,1,0,0,0,1,0,0
530,1483013,Oblivion,"$89,107,235","$197,061,337","$37,054,485",PG-13,55,Universal Pictures,Joseph Kosinski,Tom Cruise,Morgan Freeman,7,0,0,0,0,1,0,0,1,0,0
30,7286456,Joker,"$335,451,311","$738,800,000","$96,202,337",R,43,Warner Bros.,Todd Phillips,Joaquin Phoenix,Robert De Niro,1,0,0,0,0,0,0,1,0,0,0
15,2294629,Frozen,"$400,738,009","$880,065,368","$243,390",PG,56,Walt Disney Studios Motion Pictures,Chris Buck,Kristen Bell,Idina Menzel,7,1,0,0,0,0,1,0,0,1,0
362,2692250,Night at the Museum: Secret of the Tomb,"$113,746,621","$249,458,014","$17,100,520",PG,57,Twentieth Century Fox,Shawn Levy,Ben Stiller,Robin Williams,6,0,1,0,1,0,0,0,0,1,0
26,1399103,Transformers: Dark of the Moon,"$352,390,543","$771,403,536","$97,852,865",PG-13,65,DreamWorks,Michael Bay,Shia LaBeouf,Rosie Huntington-Whiteley,9,1,1,0,0,0,0,0,1,0,0
109,1877832,X-Men: Days of Future Past,"$233,921,534","$512,124,166","$90,823,660",PG-13,56,Twentieth Century Fox,Bryan Singer,Patrick Stewart,Ian McKellen,6,0,1,0,1,0,0,0,1,0,0
89,304141,Harry Potter and the Prisoner of Azkaban,"$249,975,996","$546,204,132","$93,687,367",PG,48,Warner Bros.,Alfonso Cuarón,Daniel Radcliffe,Emma Watson,16,1,1,0,0,0,0,1,0,1,0
629,6673612,Dolittle,"$77,047,065","$168,244,352","$21,844,045",PG,67,Universal Pictures,Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,0,1,0,0,0,1,0,0,0,1,0
305,1446714,Prometheus,"$126,477,084","$276,877,385","$51,050,101",R,55,Twentieth Century Fox,Ridley Scott,Noomi Rapace,Logan Marshall-Green,8,0,0,0,1,0,0,0,0,1,0
786,1753383,A Dog's Purpose,"$64,508,620","$141,228,008","$18,222,810",PG,56,Universal Pictures,Lasse Hallström,Josh Gad,Dennis Quaid,3,0,0,0,0,1,0,0,0,1,0
1142,1430607,Arthur Christmas,"$46,462,469","$100,957,003","$12,068,931",PG,54,Sony Pictures Entertainment (SPE),Sarah Smith,James McAvoy,Jim Broadbent,9,0,0,1,0,0,0,0,0,1,0
601,2283336,Men in Black: International,"$80,001,807","$173,888,894","$30,035,838",PG-13,76,Sony Pictures Entertainment (SPE),F. Gary Gray,Chris Hemsworth,Tessa Thompson,1,0,1,1,0,0,0,0,1,0,0
951,5523010,The Nutcracker and the Four Realms,"$54,858,851","$119,102,218","$20,352,491",PG,53,Walt Disney Studios Motion Pictures,Lasse Hallström,Mackenzie Foy,Keira Knightley,2,1,0,0,0,0,1,0,0,1,0
413,1253863,300: Rise of an Empire,"$106,580,051","$231,000,000","$45,038,460",R,53,Warner Bros.,Noam Murro,Sullivan Stapleton,Eva Green,6,0,1,0,0,0,0,1,1,0,0
106,892791,Shrek Forever After,"$238,736,787","$513,864,080","$70,838,207",PG,60,DreamWorks,Mike Mitchell,Mike Myers,Cameron Diaz,10,1,1,0,0,0,0,0,0,1,0
47,241527,Harry Potter and the Sorcerer's Stone,"$318,087,620","$684,802,149","$90,294,621",PG,22,Warner Bros.,Chris Columbus,Daniel Radcliffe,Rupert Grint,19,0,0,0,0,0,0,1,0,1,0
198,5220122,Hotel Transylvania 3: Summer Vacation,"$167,510,016","$361,073,758","$44,076,225",PG,75,Sony Pictures Entertainment (SPE),Genndy Tartakovsky,Adam Sandler,Andy Samberg,2,0,1,1,0,0,0,0,0,1,0
103,1587310,Maleficent,"$241,410,378","$517,001,401","$69,431,298",PG,55,Walt Disney Studios Motion Pictures,Robert Stromberg,Angelina Jolie,Elle Fanning,6,0,0,0,0,0,1,0,1,0,0
1042,3829266,The Predator,"$51,024,708","$109,517,426","$24,632,284",R,42,Twentieth Century Fox,Shane Black,Boyd Holbrook,Trevante Rhodes,2,0,1,0,1,0,0,0,1,0,0
165,481499,The Croods,"$187,168,425","$400,036,243","$43,639,736",PG,55,Twentieth Century Fox,Kirk DeMicco,Nicolas Cage,Ryan Reynolds,7,0,0,0,1,0,0,0,0,1,0
14,4881806,Jurassic World: Fallen Kingdom,"$417,719,760","$890,765,087","$148,024,610",PG-13,66,Universal Pictures,J.A. Bayona,Chris Pratt,Bryce Dallas Howard,2,1,1,0,0,1,0,0,1,0,0
447,3065204,The Conjuring 2,"$102,470,008","$217,922,810","$40,406,314",R,41,Warner Bros.,James Wan,Vera Farmiga,Patrick Wilson,4,0,0,0,0,0,0,1,0,0,0
290,1430132,The Wolverine,"$132,556,852","$282,271,394","$53,113,752",PG-13,55,Twentieth Century Fox,James Mangold,Hugh Jackman,Will Yun Lee,7,0,1,0,1,0,0,0,1,0,0
140,1981115,Thor: The Dark World,"$206,362,140","$438,421,000","$85,737,841",PG-13,54,Walt Disney Studios Motion Pictures,Alan Taylor,Chris Hemsworth,Natalie Portman,7,0,1,0,0,0,1,0,1,0,0
357,5814060,The Nun,"$117,450,119","$248,101,575","$53,807,379",R,41,Warner Bros.,Corin Hardy,Demián Bichir,Taissa Farmiga,2,0,0,0,0,0,0,1,0,0,0
677,8350360,Annabelle Comes Home,"$74,152,591","$157,100,000","$20,269,723",R,43,Warner Bros.,Gary Dauberman,Vera Farmiga,Patrick Wilson,1,0,1,0,0,0,0,1,0,0,0
633,2120120,Pixels,"$78,747,585","$166,127,224","$24,011,616",PG-13,67,Sony Pictures Entertainment (SPE),Chris Columbus,Adam Sandler,Kevin James,5,0,0,1,0,0,0,0,1,0,0
53,449088,Pirates of the Caribbean: At World's End,"$309,420,425","$651,576,067","$114,732,820",PG-13,62,Walt Disney Studios Motion Pictures,Gore Verbinski,Johnny Depp,Orlando Bloom,13,0,1,0,0,0,1,0,1,0,0
59,417741,Harry Potter and the Half-Blood Prince,"$302,305,431","$632,114,344","$77,835,727",PG,63,Warner Bros.,David Yates,Daniel Radcliffe,Emma Watson,11,1,1,0,0,0,0,1,1,0,0
