,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13,Is_Animation,Is_Family,Is_Horror,Is_Sci-Fi,Is_Fantasy,Is_Romance,Rating,Metascore
113,113,839,839,329575,Seabiscuit,120277854,28058591,20854735,PG-13,29,Universal Pictures,Gary Ross,Tobey Maguire,Jeff Bridges,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
114,114,215,215,330373,Harry Potter and the Goblet of Fire,290417905,605984224,102685961,PG-13,45,Warner Bros.,Mike Newell,Daniel Radcliffe,Emma Watson,15,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,,
115,115,551,551,331632,Scooby-Doo 2: Monsters Unleashed,84216833,97000000,29438331,PG,43,Warner Bros.,Raja Gosnell,Freddie Prinze Jr.,Sarah Michelle Gellar,16,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,5.0,34.0
116,116,102,102,332452,Troy,133378256,364031596,46865412,R,45,Warner Bros.,Wolfgang Petersen,Brad Pitt,Eric Bana,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2,56.0
117,117,771,771,335345,The Passion of the Christ,370782930,241271498,83848082,R,64,Newmarket Films,Mel Gibson,Jim Caviezel,Monica Bellucci,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,47.0
118,118,667,667,335438,Starsky & Hutch,88237754,82030996,28103367,PG-13,41,Warner Bros.,Todd Phillips,Ben Stiller,Owen Wilson,16,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,6.1,55.0
119,119,560,560,337741,Something's Gotta Give,124728738,140600000,16064723,PG-13,28,Sony Pictures Entertainment (SPE),Nancy Meyers,Jack Nicholson,Diane Keaton,17,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6.7,66.0
120,120,287,287,337978,Live Free or Die Hard,134529403,253626608,33369559,PG-13,75,Twentieth Century Fox,Len Wiseman,Bruce Willis,Justin Long,13,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.1,69.0
121,121,450,450,338094,The Haunted Mansion,75847266,106443000,24278410,PG,26,Walt Disney Studios Motion Pictures,Rob Minkoff,Eddie Murphy,Marsha Thomason,17,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,5.0,34.0
122,122,731,731,338459,Spy Kids 3-D: Game Over,111761982,85339696,32500000,PG,25,Dimension Films,Robert Rodriguez,Daryl Sabara,Alexa PenaVega,17,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,4.2,57.0
123,123,416,416,338526,Van Helsing,120177084,179980554,51748040,PG-13,52,Universal Pictures,Stephen Sommers,Hugh Jackman,Kate Beckinsale,16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6.1,35.0
124,124,586,586,338751,The Aviator,102610330,111109612,858021,PG-13,46,Miramax,Martin Scorsese,Leonardo DiCaprio,Cate Blanchett,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.5,77.0
125,125,723,723,339291,A Series of Unfortunate Events,118634549,92833686,30061756,PG,61,Paramount Pictures,Brad Silberling,Jim Carrey,Jude Law,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,,
126,126,615,615,343135,Along Came Polly,88097164,90214565,27721185,PG-13,59,Universal Pictures,John Hamburg,Ben Stiller,Jennifer Aniston,16,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6.0,44.0
127,127,774,774,343660,50 First Dates,120908074,77612860,39852237,PG-13,68,Sony Pictures Entertainment (SPE),Peter Segal,Adam Sandler,Drew Barrymore,16,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6.8,48.0
128,128,437,437,343818,"I, Robot",144801023,208332875,52179887,PG-13,63,Twentieth Century Fox,Alex Proyas,Will Smith,Bridget Moynahan,16,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,7.1,59.0
129,129,769,769,345950,The SpongeBob SquarePants Movie,85417988,55649139,32018216,PG,37,Paramount Pictures,Stephen Hillenburg,Tom Kenny,Jeffrey Tambor,16,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,7.0,66.0
130,130,31,31,346491,Alexander,34297191,133001001,13687087,R,52,Warner Bros.,Oliver Stone,Colin Farrell,Anthony Hopkins,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.6,39.0
131,131,24,24,347149,Howl's Moving Castle,5576743,230636249,427987,PG,28,Walt Disney Studios Motion Pictures,Hayao Miyazaki,Chieko Baishô,Takuya Kimura,16,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,8.2,80.0
132,132,658,658,348150,Superman Returns,200081192,191000000,52535096,PG-13,49,Warner Bros.,Bryan Singer,Brandon Routh,Kevin Spacey,14,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,6.0,72.0
133,133,457,457,348836,Gothika,59694580,81896744,19288438,R,28,Warner Bros.,Mathieu Kassovitz,Halle Berry,Penélope Cruz,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,
134,134,824,824,349205,Cheaper by the Dozen,138614544,51924086,27557647,PG,30,Twentieth Century Fox,Shawn Levy,Steve Martin,Bonnie Hunt,17,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5.9,46.0
135,135,87,87,349683,King Arthur,51882244,151685613,15193907,PG-13,38,Walt Disney Studios Motion Pictures,Antoine Fuqua,Clive Owen,Stephen Dillane,16,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6.3,46.0
136,136,285,285,349903,Ocean's Twelve,125544280,237200000,39153380,PG-13,50,Warner Bros.,Steven Soderbergh,George Clooney,Brad Pitt,16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6.5,58.0
137,137,310,310,351283,Madagascar,193595521,348468325,47224594,PG,63,DreamWorks Distribution,Eric Darnell,Chris Rock,Ben Stiller,15,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6.9,57.0
138,138,341,341,356634,Garfield,75369589,127802828,21727611,PG,65,Twentieth Century Fox,Peter Hewitt,Breckin Meyer,Jennifer Love Hewitt,16,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,5.0,27.0
139,139,371,371,356910,Mr. & Mrs. Smith,186336279,300951367,50342878,PG-13,69,Twentieth Century Fox,Doug Liman,Brad Pitt,Angelina Jolie,15,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.5,55.0
140,140,596,596,358082,Robots,128200012,134311478,36045301,PG,65,Twentieth Century Fox,Chris Wedge,Ewan McGregor,Halle Berry,15,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,6.3,64.0
141,141,270,270,358135,Shall We Dance,57890460,112238000,11600000,PG-13,48,Miramax,Peter Chelsom,Richard Gere,Jennifer Lopez,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6.1,47.0
142,142,790,790,358273,Walk the Line,119519402,67278584,22347341,PG-13,62,Twentieth Century Fox,James Mangold,Joaquin Phoenix,Reese Witherspoon,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.8,72.0
143,143,184,184,359950,The Secret Life of Walter Mitty,58236838,129896484,12765508,PG,53,Twentieth Century Fox,Ben Stiller,Ben Stiller,Kristen Wiig,7,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,7.3,54.0
144,144,235,235,360486,Constantine,75976178,154908550,29769098,R,46,Warner Bros.,Francis Lawrence,Keanu Reeves,Rachel Weisz,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,7.0,50.0
145,145,381,381,360717,King Kong,218080025,344283424,50130145,PG-13,65,Universal Pictures,Peter Jackson,Naomi Watts,Jack Black,15,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7.2,81.0
146,146,691,691,361596,Fahrenheit 9/11,119194771,103252111,23920637,R,38,Lionsgate,Michael Moore,Michael Moore,George W. Bush,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,67.0
147,147,351,351,361748,Inglourious Basterds,120540719,200914970,38054676,R,61,The Weinstein Company,Quentin Tarantino,Brad Pitt,Diane Kruger,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3,69.0
148,148,652,652,362120,Scary Movie 4,90710620,87552000,40222875,PG-13,43,Dimension Films,David Zucker,Anna Faris,Regina Hall,14,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5.0,40.0
149,149,303,303,362227,The Terminal,77872883,141227201,19053199,PG-13,61,DreamWorks Distribution,Steven Spielberg,Tom Hanks,Catherine Zeta-Jones,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,7.3,55.0
150,150,394,394,363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,453302158,65556312,PG,41,Walt Disney Studios Motion Pictures,Andrew Adamson,Tilda Swinton,Georgie Henley,15,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6.9,75.0
151,151,808,808,364725,Dodgeball,114326736,54096491,30070196,PG-13,59,Twentieth Century Fox,Rawson Marshall Thurber,Ben Stiller,Christine Taylor,16,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,
